DFNA16	https://omim.org/entry/603964	Fukushima et al., 1999	https://pubmed.ncbi.nlm.nih.gov/10364526/	chr2:163,815,474-172,566,717
DFNA18	https://omim.org/entry/606012	Bonsch et al., 2001	https://pubmed.ncbi.nlm.nih.gov/11313754/	chr3:127,200,206-142,715,867
DFNA24	https://omim.org/entry/606282	Hafner et al., 2000	https://pubmed.ncbi.nlm.nih.gov/10739769/	chr4:188,387,891-190,440,433
DFNA30	https://omim.org/entry/606451	Mangino et al., 2001	https://pubmed.ncbi.nlm.nih.gov/11571554/	chr15:87,597,148-94,711,523
DFNA31	https://omim.org/entry/608645	Snoeckx et al., 2004	https://pubmed.ncbi.nlm.nih.gov/14729819/	chr6:24,185,802-33,719,399
DFNA47	https://omim.org/entry/608652	D'Adamo et al., 2003	https://pubmed.ncbi.nlm.nih.gov/12634859/	chr9:13,056,167-21,990,675
DFNA49	https://omim.org/entry/608372	Moreno-Pelayo et al., 2003	https://pubmed.ncbi.nlm.nih.gov/14627674/	chr1:159,684,117-160,767,843
DFNA53	https://omim.org/entry/609965	Yan et al., 2005	https://pubmed.ncbi.nlm.nih.gov/15958501/	chr14:24,298,494-31,272,482
DFNA54	https://omim.org/entry/615649	Gurtler et al., 2004	https://pubmed.ncbi.nlm.nih.gov/15490091/	chr5:142,342,663-152,775,361
DFNA57		Bonsch et al., 2008	https://pubmed.ncbi.nlm.nih.gov/18066515/	chr19:3,075,844-18,343,275
DFNA59	https://omim.org/entry/612642	Chatterjee et al., 2009	https://pubmed.ncbi.nlm.nih.gov/19030898/	chr11:25,851,940-63,067,283
DFNA60		Liu XZ et al. ARO meeting. Denver, February 2007.; Beelen E et al. 2013	https://aro.org/	chr2:148,860,043-151,821,468
DFNB5	https://omim.org/entry/600792	Fukushima et al., 1995	https://pubmed.ncbi.nlm.nih.gov/8541854/	chr14:34,459,194-44,102,045  
DFNB13	https://omim.org/entry/603098	Mustapha et al., 1998	https://pubmed.ncbi.nlm.nih.gov/9781028/	chr7:138,987,377-151,139,223
DFNB14	https://omim.org/entry/603678	Mustapha et al., 1998	https://pubmed.ncbi.nlm.nih.gov/9887371/	chr7:95,615,066-107,591,496
DFNB17	https://omim.org/entry/603010	Greinwald et al., 1998	https://pubmed.ncbi.nlm.nih.gov/9674898/	chr7:105657890-10964,478
DFNB20	https://omim.org/entry/604060	Moynihan et al., 1999	https://pubmed.ncbi.nlm.nih.gov/10196710/	chr11:133,234,759-135006516
DFNB27	https://omim.org/entry/605818	Pulleyn et al., 2000	https://pubmed.ncbi.nlm.nih.gov/11175289/	chr2:173,096,789-184,142,719
DFNB33	https://omim.org/entry/607239	Medlej-Hashim et al., 2002	https://pubmed.ncbi.nlm.nih.gov/12080392/	chr9:137,135,350-141,118,634
DFNB38	https://omim.org/entry/608219	Ansar et al., 2003	https://pubmed.ncbi.nlm.nih.gov/12890929/	chr6:162,656,623-166,069,924
DFNB40	https://omim.org/entry/608264	Delmaghani et al., 2003	https://pubmed.ncbi.nlm.nih.gov/14512974/	chr22:18,591,317-27,683,302
DFNB45	https://omim.org/entry/612433	Bhatti et al., 2008	https://pubmed.ncbi.nlm.nih.gov/18325041/	chr1:241,755,914-246,870,432
DFNB46	https://omim.org/entry/609647	Mir et al., 2005	https://pubmed.ncbi.nlm.nih.gov/15637723/	chr18:2123098-5829761
DFNB47	https://omim.org/entry/609946	Hassan et al., 2005	https://pubmed.ncbi.nlm.nih.gov/16261342/	chr2:8,077,970-13,367,865
DFNB51	https://omim.org/entry/609941	Shaikh et al., 2005	https://pubmed.ncbi.nlm.nih.gov/16158433/	chr11:26,680,515-36,777,621
DFNB55	https://omim.org/entry/609952	Irshad et al., 2005	https://pubmed.ncbi.nlm.nih.gov/16098016/	chr4:56,916,420-68,283,094
DFNB62	https://omim.org/entry/610143	Ali et al., 2006	https://pubmed.ncbi.nlm.nih.gov/16650082/	chr12:12,639,323-27,647,595
DFNB65	https://omim.org/entry/610248	Tariq et al., 2006	https://pubmed.ncbi.nlm.nih.gov/16596430/	chr20:51,857,207-56,150,382
DFNB71	https://omim.org/entry/612789	Chishti et al., 2009	https://pubmed.ncbi.nlm.nih.gov/19229252/	chr8:11,833,936-22,433,633
DFNB80		Mosrati et al., 2013	https://pubmed.ncbi.nlm.nih.gov/23235334/	chr2:46,573,209-56,492,112
DFNB81		Rehman et al., 2011	https://pubmed.ncbi.nlm.nih.gov/21660509/	chr19:4,949,357-9,118,153
DFNB85	https://omim.org/entry/613392	Shahin et al., 2010	https://pubmed.ncbi.nlm.nih.gov/19888295/	chr17:15,272,073-29,466,722
DFNB90		Ghazanfar et al., 2011	https://pubmed.ncbi.nlm.nih.gov/21734401/	chr7:4,900,095-20,371,758
DFNB96	https://www.omim.org/entry/614414	Ansar et al., 2011	https://pubmed.ncbi.nlm.nih.gov/21937999/	chr1:6,501,032-18,219,828
DFNX3 (DFN4)	https://omim.org/entry/300030	Lalwani et al., 1994	https://pubmed.ncbi.nlm.nih.gov/7942846/	chrX:30,750,304-38,908,402
DFNA43	https://omim.org/entry/608394	Flex et al., 2003	https://pubmed.ncbi.nlm.nih.gov/12676899/	chr2:75,830,355-85,488,455
DFNA33	https://omim.org/entry/614211	Bonsch et al., 2009 	https://pubmed.ncbi.nlm.nih.gov/19183916/	chr13:112,023,658-900000000
