Hipk3	HMGU	http://www.mousephenotype.org/data/charts?accession=MGI:1314882&allele_accession_id=MGI:5588270&zygosity=homozygote&parameter_stable_id=IMPC_ABR_002_001&pipeline_stable_id=HMGU_001&phenotyping_center=HMGU
Otoa	UC Davis	http://www.mousephenotype.org/data/charts?accession=MGI:2149209&allele_accession_id=MGI:5548754&zygosity=homozygote&parameter_stable_id=IMPC_ABR_004_001&pipeline_stable_id=UCD_001&phenotyping_center=UC Davis
Mkrn2	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:1914277&allele_accession_id=MGI:5548531&zygosity=homozygote&parameter_stable_id=IMPC_ABR_012_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Selenok	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:1931466&allele_accession_id=MGI:5548722&zygosity=homozygote&parameter_stable_id=IMPC_ABR_012_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Brd2	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:99495&allele_accession_id=MGI:6147548&zygosity=heterozygote&parameter_stable_id=IMPC_ABR_012_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Fads3	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:1928740&allele_accession_id=MGI:5692754&zygosity=homozygote&parameter_stable_id=IMPC_ABR_004_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Csnk1g3	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:1917675&allele_accession_id=MGI:4461713&zygosity=homozygote&parameter_stable_id=IMPC_ABR_012_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Agap1	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:2653690&allele_accession_id=MGI:4820274&zygosity=homozygote&parameter_stable_id=IMPC_ABR_012_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Klc2	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:107953&allele_accession_id=MGI:4434042&zygosity=homozygote&parameter_stable_id=IMPC_ABR_002_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
Cep250	WTSI	http://www.mousephenotype.org/data/charts?accession=MGI:108084&allele_accession_id=MGI:4431949&zygosity=homozygote&parameter_stable_id=IMPC_ABR_010_001&pipeline_stable_id=MGP_001&phenotyping_center=WTSI
